用例编号,业务场景,上一轮内容,本轮用户指令,本轮生成结果,专家-格式分,专家-遵循分,专家-一致分,专家-差异分,专家-自然分,模型打分-D1,模型打分-D2,模型打分-D3,模型打分-D4,模型打分-D5,规则校验得分,备注说明
全能帮写#15,全能帮写,"1.(帮写作)浅色水洗牛仔外套，背部一道红色爪痕图案，个性很突出
2.(帮写作)正面素净背面有设计，转过身才是重点
3.(帮写作)搭黑帽和浅色裤，整体不花但有记忆点
4.(帮写作)背部印花面积大，适合喜欢街头风格的人
5.(帮写作)牛仔外套想穿出不同，在背后做设计是个思路🧥",第3条意思保留，再精简一些，去掉重复和空泛形容。,"1.(帮写作)浅色水洗牛仔外套，背部红色爪痕图案，个性突出🧥
2.(帮写作)正面素净背面有设计，转过身才是重点
3.(帮写作+简)搭黑帽浅色裤，不花但有记忆点👖
4.(帮写作)背部印花面积大，适合街头风格的人
5.(帮写作)牛仔外套想不同，背后做设计是个思路🧥",,,,,,9,7,9,8,7,8,"含emoji的条数不符(需2-3条, 实1条)"
全能帮写#32,全能帮写,"1.(帮写作)银色细链配镶钻月牙托，中间一颗深灰珍珠，气质温柔
2.(帮写作)吊坠体积不大，日常戴着不夸张
3.(帮写作)摆在杂志封面上拍，光泽很明显
4.(帮写作)月牙加珍珠的组合经典也耐看🌙
5.(帮写作)想要一条能天天戴的项链，这种简约款合适",换成更口语、更像真人表达的版本，不要新增图片外信息。,"1.(帮写作+白)银细链配镶钻月牙托，中间一颗深灰珍珠，挺温柔
2.(帮写作+白)吊坠不大，天天戴也不夸张
3.(帮写作+白)放杂志封面上拍，光泽很明显💎
4.(帮写作+白)月牙加珍珠这组合，看久也不腻
5.(帮写作+白)想找条能日常戴的，简约款就够",,,,,,9,2,2,7,7,8,"含emoji的条数不符(需2-3条, 实1条)"
全能帮写#41,全能帮写,"1.(帮写作)白猫盯着小镜子看自己，专注得像在做体检
2.(帮写作)配文说还有头发还能学猫，自嘲得很到位
3.(帮写作)照镜子确认发量，这动作人和猫都一样
4.(帮写作)适合发给同样在担心发际线的朋友😹
5.(帮写作)猫在镜前皱眉的样子，看着比人还有心事",整体语气更克制一点，重点突出图片中能确认的内容。,"1.(帮写作+实)白猫在三脚架小镜子前看自己🐱
2.(帮写作+实)镜中能看到它微皱眉的表情
3.(帮写作+实)配文提到还有头发还能学猫
4.(帮写作+实)画面元素为猫、桌面与小镜子
5.(帮写作+实)可用于自嘲发量，语气自己把握",9,2,2,7,7,9,2,2,7,7,8,"含emoji的条数不符(需2-3条, 实1条)"
全能帮写#46,全能帮写,"1.(帮写作)白发角色戴着小光环，配上心情简单四个字很搭
2.(帮写作)表情干净，适合表达今天没什么烦心事
3.(帮写作)想说自己状态还不错，用这张最轻
4.(帮写作)可爱路线的表情包，谁看都不反感😇
5.(帮写作)心情简单四个字，其实是很难得的状态",再给5条更简短的版本，每条角度要有区别。,"1.(帮写作+短)白发角色戴小光环，配心情简单😇
2.(帮写作+短)表情干净，适合说没烦心事
3.(帮写作+短)想说状态不错，用这张最轻
4.(帮写作+短)可爱路线，谁看都不反感
5.(帮写作+短)心情简单，其实很难得",,,,,,9,2,2,7,7,8,"含emoji的条数不符(需2-3条, 实1条)"
全能帮写#48,全能帮写,"1.(帮写作)左边是迪加奥特曼卡片，右边熊猫头表情夸张
2.(帮写作)一本正经的卡片配上夸张反应，拼在一起就好笑
3.(帮写作)适合在群里玩谐音梗，气氛立刻起来
4.(帮写作)童年卡片加网络表情，混搭很有年代感😆
5.(帮写作)两张图拼一起的表情包，信息量比单图大",换成更口语、更像真人表达的版本，不要新增图片外信息。,"1.(帮写作+白)左边迪加奥特曼卡片，右边熊猫头表情夸张📸
2.(帮写作+白)一本正经配上夸张反应，拼一起就好笑
3.(帮写作+白)群里玩谐音梗，气氛一下就起来
4.(帮写作+白)童年卡片加网络表情，挺有年代感
5.(帮写作+白)两张拼一起，信息量比单图大",,,,,,9,2,2,7,7,8,"含emoji的条数不符(需2-3条, 实1条)"
全能帮写#51,全能帮写,"1.(帮写作)橘白猫戴着粉色项圈，挂着小钥匙扣，配色很温柔
2.(帮写作)侧脸看着有点不高兴，反倒更显性格
3.(帮写作)治愈系猫图，发出去谁都不会觉得吵
4.(帮写作)项圈细节做得精致，一看就是被好好养着的🐱
5.(帮写作)想传递轻松氛围，猫图永远不会错",第3条意思保留，再精简一些，去掉重复和空泛形容。,"1.(帮写作)橘白猫戴着粉色项圈，挂着小钥匙扣，配色很温柔🐱
2.(帮写作)侧脸看着有点不高兴，反倒更显性格
3.(帮写作+简)治愈系猫图，发出去不吵
4.(帮写作)项圈细节做得精致，一看就是被好好养着的
5.(帮写作)想传递轻松氛围，猫图永远不会错",,,,,,9,2,2,7,7,8,"含emoji的条数不符(需2-3条, 实1条)"
全能帮写#53,全能帮写,"1.(帮写作)黄色滑稽表情比着V，配文可以这很滑稽
2.(帮写作)适合评价荒谬又好笑的事，态度轻松
3.(帮写作)眼睛眯成一条缝，笑得毫无攻击性
4.(帮写作)群里遇到离谱操作，发这张刚好😄
5.(帮写作)一句可以，包含了所有想说的话",整体语气更克制一点，重点突出图片中能确认的内容。,"1.(帮写作+实)黄色滑稽表情比着V，配文可以这很滑稽😄
2.(帮写作+实)眼睛眯成一条缝，没有攻击性
3.(帮写作+实)可用于回应荒谬又好笑的事
4.(帮写作+实)图上元素为表情与手势
5.(帮写作+实)语气偏轻松，正式场合慎用",,,,,,9,2,2,7,7,8,"含emoji的条数不符(需2-3条, 实1条)"
全能帮写#59,全能帮写,"1.(帮写作)紫色宫装配精致纹样，人物气质端庄
2.(帮写作)宫殿背景做了虚化，突出服饰与神态
3.(帮写作)适合用在需要一点仪式感的对话里
4.(帮写作)古装剧截图自带戏感，发出去很有味道👑
5.(帮写作)不说话也能表达态度，靠的是气场",第3条意思保留，再精简一些，去掉重复和空泛形容。,"1.(帮写作)紫色宫装配精致纹样，人物气质端庄👑
2.(帮写作)宫殿背景做了虚化，突出服饰与神态
3.(帮写作+简)适合需要点仪式感的对话
4.(帮写作)古装剧截图自带戏感，发出去很有味道
5.(帮写作)不说话也能表达态度，靠的是气场",,,,,,9,2,2,7,7,8,"含emoji的条数不符(需2-3条, 实1条)"
全能帮写#61,全能帮写,"1.(帮写作)黑衣熊猫闭眼张嘴，一声止不住啊
2.(帮写作)适合形容停不下来的事，比如刷手机
3.(帮写作)表情无奈，情绪拿捏得很准
4.(帮写作)明知不该继续却收不住，太真实了😵
5.(帮写作)想自嘲一下，用它比解释更快",整体语气更克制一点，重点突出图片中能确认的内容。,"1.(帮写作+实)黑衣熊猫闭眼张嘴，配文止不住啊😵
2.(帮写作+实)表情呈无奈或叹息状
3.(帮写作+实)可用于形容停不下来的行为
4.(帮写作+实)图上元素为熊猫与一句配文
5.(帮写作+实)语气偏自嘲，程度自己把握",,,,,,9,2,2,7,7,8,"含emoji的条数不符(需2-3条, 实1条)"
全能帮写#64,全能帮写,"1.(帮写作)圆脑袋小熊带着红脸颊，表情半信半疑
2.(帮写作)适合用在需要确认一下的时候
3.(帮写作)笑着又带点犹豫，情绪层次挺细
4.(帮写作)可爱路线的疑问表情，攻击性为零🧐
5.(帮写作)想追问又不想显得咄咄逼人，用它刚好",换成更口语、更像真人表达的版本，不要新增图片外信息。,"1.(帮写作+白)圆脑袋小熊带红脸颊，表情半信半疑🧸
2.(帮写作+白)需要确认一下的时候用得上
3.(帮写作+白)笑着又有点犹豫，层次挺细
4.(帮写作+白)可爱路线的疑问脸，一点不冲
5.(帮写作+白)想追问又不想太冲，用它刚好",,,,,,9,2,2,7,7,8,"含emoji的条数不符(需2-3条, 实1条)"
全能帮写#66,全能帮写,"1.(帮写作)奥特曼神情庄严眼睛发光，一句兄台留步
2.(帮写作)科幻造型配古风称呼，混搭出笑点
3.(帮写作)适合在别人想开溜时把人叫住
4.(帮写作)语气客气内容强硬，反差很有意思🛑
5.(帮写作)想留住人又不想太急，这张挺好用",再给5条更简短的版本，每条角度要有区别。,"1.(帮写作+短)奥特曼神情庄严，眼泛黄光，一句兄台留步⚡
2.(帮写作+短)科幻造型配古风称呼，反差出笑点
3.(帮写作+短)用来叫住想走的人，很合适✨
4.(帮写作+短)客气语气里藏着强硬
5.(帮写作+短)想拦人又不想太急，这张顶用✨",,,,,,9,8,9,7,7,8,"含emoji的条数不符(需2-3条, 实1条)"
全能帮写#69,全能帮写,"1.(帮写作) 银灰色套装配红色条纹，胸前一枚蓝色圆环
2.(帮写作) 手臂向外伸展，像准备使出招式
3.(帮写作) 特摄英雄的经典造型，辨识度很高
4.(帮写作) 站姿笔直，动作幅度不大却有气势
5.(帮写作) 熟悉的配色和轮廓，一眼就能认出来⚡",整体语气更克制一点，重点突出图片中能确认的内容。,"1.(帮写作+实)银灰套装带红色条纹，胸前一枚蓝环✨
2.(帮写作+实)手臂向外张开，像要出招
3.(帮写作+实)特摄英雄造型，辨识度高✨
4.(帮写作+实)站姿笔直，幅度不大但有气场
5.(帮写作+实)配色轮廓熟，一眼能认出✨",9,8,9,7,7,9,8,9,7,7,8,"含emoji的条数不符(需2-3条, 实1条)"
全能帮写#83,全能帮写,"1.(帮写作) 左边黑白线条画着戴帽子和墨镜的人物
2.(帮写作) 配文我觉得不行，否定态度很直接
3.(帮写作) 右边是只橙色猫咪，神情带点嫌弃
4.(帮写作) 两张涂鸦都偏调侃，画风简单随意
5.(帮写作) 原文用词较冲，转述时建议换成更温和的说法",第3条意思保留，再精简一些，去掉重复和空泛形容。,"1.(帮写作)左边黑白线条画着戴帽子和墨镜的人✨
2.(帮写作)配文我觉得不行，否定得很直接
3.(帮写作+简)右边是只橙色猫，神情带嫌弃🐱
4.(帮写作)两张涂鸦都偏调侃，画风简单随意
5.(帮写作)两段涂鸦都偏调侃，画风简单随性👀",,,,,,9,7,9,8,7,8,"含emoji的条数不符(需2-3条, 实1条)"
全能帮写#87,全能帮写,"1.(帮写作) 两位角色的服装上有明显的字母图案
2.(帮写作) 左边角色睁大眼睛张着嘴，像在惊呼
3.(帮写作) 右边角色的神情相对收着一些
4.(帮写作) 画风线条硬朗，情绪冲击力比较强
5.(帮写作) 适合表达没想到会这样的那一瞬间😱",第3条意思保留，再精简一些，去掉重复和空泛形容。,"1.(帮写作)两位角色服装上都有明显的字母图案🖼️
2.(帮写作)左边角色睁大眼张着嘴，像在惊呼
3.(帮写作+简)右边角色神情相对收着一些✨
4.(帮写作)画风线条硬朗，情绪冲击力比较强
5.(帮写作)整张图的张力，都在那一瞬间的错愕里😱",,,,,,9,6,9,8,7,8,"含emoji的条数不符(需2-3条, 实1条)"
全能帮写#88,全能帮写,"1.(帮写作) 卡通熊猫大眼睛配红脸颊，可爱又搞笑
2.(帮写作) 右手比了个V，动作有点俏皮
3.(帮写作) 配文写的是我的心脏砰砰跳
4.(帮写作) 表情和文字一起，把激动写得很夸张🐼
5.(帮写作) 情绪偏兴奋，适合形容心动或紧张",换成更口语、更像真人表达的版本，不要新增图片外信息。,"1.(帮写作+口)熊猫大眼睛加红脸颊，又萌又逗🐼
2.(帮写作+口)右手比了个V，动作还挺俏皮
3.(帮写作+口)配文写的是我的心脏砰砰跳✨
4.(帮写作+口)表情配文字，激动表现得夸张
5.(帮写作+口)情绪偏兴奋，形容心动紧张都行✨",,,,,,9,7,9,7,7,8,"含emoji的条数不符(需2-3条, 实1条)"
全能帮写#89,全能帮写,"1.(帮写作) 一群像素风格的卡通鹦鹉，颜色很鲜艳
2.(帮写作) 红蓝黄紫都有，每只配色都不一样
3.(帮写作) 整体状态欢快，画面活力很足
4.(帮写作) 像素画风带明显的数字创作感🦜
5.(帮写作) 只看画面无法确认具体来源和用途",整体语气更克制一点，重点突出图片中能确认的内容。,"1.(帮写作)一群像素风卡通鹦鹉，颜色很鲜艳🦜
2.(帮写作)红蓝黄紫都有，每只配色不一样
3.(帮写作)鹦鹉状态欢快，画面活力很足🦜
4.(帮写作)像素画风带明显数字创作感
5.(帮写作)只看画面无法确认具体来源和用途✨",,,,,,9,6,9,7,7,8,"含emoji的条数不符(需2-3条, 实1条)"
全能帮写#92,全能帮写,"1.(帮写作) 卡通角色的脸被一个大黄笑脸盖住
2.(帮写作) 配文是我没有生气呀，反差很明显
3.(帮写作) 背景有绿色草地和一角砖房
4.(帮写作) 氛围轻松，语气偏嘴硬的那种可爱🙂
5.(帮写作) 越说不生气越显得在意，笑点就在这里",换成更口语、更像真人表达的版本，不要新增图片外信息。,"1.(帮写作+口)卡通角色的脸被大黄笑脸盖住了🙂
2.(帮写作+口)配文说我没生气呀，反差明显
3.(帮写作+口)背景有绿草地和一角砖房✨
4.(帮写作+口)氛围轻松，有点嘴硬的可爱
5.(帮写作+口)越说不生气越像在意，笑点在这✨",,,,,,9,7,9,7,7,8,"含emoji的条数不符(需2-3条, 实1条)"
全能帮写#97,全能帮写,"1.(润色) 你放心吧
2.(润色) 这事你不用担心
3.(润色) 交给我，你放心
4.(润色) 我心里有数，你放心
5.(润色) 别多想，该处理的我会处理好",整体语气更克制一点，重点突出图片中能确认的内容。,"1.(润色+实) 你放心
2.(润色+实) 这事你不用担心
3.(润色+实) 交给我，你放心👌
4.(润色+实) 我心里有数
5.(润色+实) 该处理的我会处理好",,,,,,9,2,2,7,7,8,"含emoji的条数不符(需2-3条, 实1条)"
全能帮写#98,全能帮写,"1.(润色) 你先别激动
2.(润色) 咱们都冷静点说
3.(润色) 别把话往冲的方向带
4.(润色) 有话好好讲，别上火
5.(润色) 我不想吵，你先把情绪放一放",再给5条更简短的版本，每条角度要有区别。,"1.(润色+短) 先别激动
2.(润色+短) 冷静点说🤝
3.(润色+短) 别往冲的方向带
4.(润色+短) 有话好好讲
5.(润色+短) 我不想吵，情绪先放一放",,,,,,9,2,2,7,7,8,"含emoji的条数不符(需2-3条, 实1条)"
全能帮写#99,全能帮写,"1.(润色) 羽墨，还是你厉害
2.(润色) 这招确实高，佩服
3.(润色) 羽墨，你这办法比我想得周全
4.(润色) 手段是真高明，我认了👏
5.(润色) 论这方面，还是得看你",第3条意思保留，再精简一些，去掉重复和空泛形容。,"1.(润色) 羽墨，还是你厉害
2.(润色) 这招确实高，佩服💯
3.(润色+简) 羽墨，你想得比我周全
4.(润色) 手段是真高明，我认了
5.(润色) 论这方面，还是得看你",,,,,,9,2,2,7,7,8,"含emoji的条数不符(需2-3条, 实1条)"
高赞朋友圈#106,高赞朋友圈,"1.(直白) 我的密码全被你破了🔐
2.(留白) 藏得再好，也被看穿。
3.(共鸣) 懂你的人，根本不用猜。
4.(接地气) 连我设的密室密码都被你解开了，在你面前我毫无秘密。
5.(诗意) 层层设锁终被识破，被看穿有时也算亲近。",再写一版，幽默感轻一点，不要用网络烂梗。,"1.(直白) 我的密码全被你破了🔐
2.(留白) 藏再好，也被看穿。
3.(共鸣) 懂你的人，不用猜。
4.(接地气) 连我设的密室密码都被你解开了，在你面前我没秘密。
5.(诗意) 层层设锁终被识破，被看穿有时也算亲近。",9,3,9,8,7,8,3,9,8,7,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#110,高赞朋友圈,"1.(直白) 你不理财，财不理你💰
2.(留白) 钱的事，得早点想。
3.(共鸣) 全款买房的，能有几个。
4.(接地气) 聊到买房才发现，这句你不理财财不理你说得一点没错。
5.(诗意) 银钱有性亦需善待，早筹一步便宽一分。",再写一版，幽默感轻一点，不要用网络烂梗。,"1.(直白) 你不理财，财不理你💰
2.(留白) 钱的事，早点想。
3.(共鸣) 全款买房的，没几个。
4.(接地气) 聊到买房才发现，这句你不理财财不理你还真没说错。
5.(诗意) 银钱有性也需善待，早筹一步便宽一分。",,,,,,8,3,9,8,7,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#112,高赞朋友圈,"1.(直白) 这次是我想得不周到😞
2.(留白) 错就认，别找理由。
3.(共鸣) 想得再多，也有漏处。
4.(接地气) 复盘了一遍确实是我没考虑全，该我认的这份我认了。
5.(诗意) 一念疏漏累及他人，自省便是补救之始。",整体再口语自然一些，少一点刻意煽情，仍然输出5条。,"1.(直白) 这次是我没想周到😞
2.(留白) 错了就认，别扯。
3.(共鸣) 想再多，也有漏。
4.(接地气) 复盘一遍确实是我没考虑全，该认的这份我认了。
5.(诗意) 一念疏漏累及他人，自省就是补救的开始。",,,,,,8,3,9,8,7,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#115,高赞朋友圈,"1.(直白) 谢谢你们制造的这份浪漫💐
2.(留白) 老夫老妻，也需要浪漫。
3.(共鸣) 浪漫这事，永远都不晚。
4.(接地气) 好久没浪漫过了，这次全靠你们张罗，我们俩都挺高兴。
5.(诗意) 久别浪漫忽被唤回，寻常夫妻亦有心动。",第2条方向不错，再短一点，更像随手发的朋友圈。,"1.(直白) 谢谢你们制造的这份浪漫💐
2.(留白+随手) 老夫老妻，也要。
3.(共鸣) 浪漫这事，永远都不晚。
4.(接地气) 好久没浪漫过了，这次全靠你们张罗，我们俩都挺高兴。
5.(诗意) 久别浪漫忽被唤回，寻常夫妻亦有心动。",9,7,9,8,7,8,7,9,8,7,10,
高赞朋友圈#120,高赞朋友圈,"1.(直白) 我说不行就是不行🙂
2.(留白) 两个字，态度很明。
3.(共鸣) 该拒绝时，别绕弯子。
4.(接地气) 对面伸手要过去自己看，我就回两个字不行，没得商量。
5.(诗意) 一句拒绝落得干脆，界限本该说清。",整体再口语自然一些，少一点刻意煽情，仍然输出5条。,"1.(直白) 我说不行就是不行🙂
2.(留白) 两个字，态度明。
3.(共鸣) 该拒绝，别绕弯。
4.(接地气) 对面要拿过去自己看，我就回俩字不行，没得商量。
5.(诗意) 一句拒绝落得干脆，界限本就该说清。",,,,,,8,3,9,8,7,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#121,高赞朋友圈,"1.(直白) 这故事结局有点离谱😂
2.(留白) 一口咬下，命运翻转。
3.(共鸣) 讲故事的人，最会圆场。
4.(接地气) 小鱼咬钩本该是坏事，被他讲成幸福结局，硬生生圆回来了。
5.(诗意) 钩上或是劫难或是礼物，全看讲述者的心。",保留图片主题，换成更有氛围感但不矫情的表达。,"1.(直白) 这故事结局有点离谱😂
2.(留白) 一口咬下，命运转。
3.(共鸣) 会讲的人，最会圆。
4.(接地气) 小鱼咬钩本该是祸，被他讲成圆满结局，硬给圆回来了。
5.(诗意) 钩上或是劫难或是礼物，只看讲述者的心。",9,3,9,8,6,8,3,9,8,6,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#129,高赞朋友圈,"1.(直白) 谢谢舅舅，合脚了🙏
2.(留白) 一厘米，刚好合适。
3.(共鸣) 家里人的手艺，最贴心。
4.(接地气) 舅舅帮着加宽了一厘米，穿上立刻合脚，这手艺真难得。
5.(诗意) 一厘米之差尽显用心，亲人之手最知冷暖。",保留图片主题，换成更有氛围感但不矫情的表达。,"1.(直白) 谢谢舅舅，合脚了🙏
2.(留白) 一厘米，刚好。
3.(共鸣) 家里人的手艺，最贴。
4.(接地气) 舅舅帮着加宽一厘米，穿上立刻合脚，这手艺真难得。
5.(诗意) 一厘米之差尽显用心，亲人之手最知冷暖。",,,,,,8,3,9,8,6,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#142,高赞朋友圈,"1.(直白) 又见一株斑点兜兰🌱
2.(留白) 斑点密布，兜得深。
3.(共鸣) 越看越怪，越怪越喜欢。
4.(接地气) 白背萼上密密的紫黑斑点，叶子摊成莲座状，长得很有个性。
5.(诗意) 斑点缀萼兜中藏影，草木之奇不输画笔。",再写一版，幽默感轻一点，不要用网络烂梗。,"1.(直白) 又见一株斑点兜兰🌱
2.(留白) 斑点密布，兜深。
3.(共鸣) 越怪，越喜欢。
4.(接地气) 白背萼上密密紫黑斑点，叶子摊成莲座，长得很有个性。
5.(诗意) 斑点缀萼兜中藏影，草木之奇不输画笔。",,,,,,8,3,9,8,6,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#148,高赞朋友圈,"1.(直白) 温室里还有小瀑布💦
2.(留白) 水声一响，人就凉。
3.(共鸣) 有水的地方，最松弛。
4.(接地气) 水从长满蕨类的岩壁落下来，潭边摆着金盆小花，湿润舒服。
5.(诗意) 泉落石壁蕨影微颤，一隅湿润自成清凉。",整体再口语自然一些，少一点刻意煽情，仍然输出5条。,"1.(直白) 温室里还有小瀑布💦
2.(留白) 水声一响，人凉。
3.(共鸣) 有水处，最松弛。
4.(接地气) 水从长满蕨类的岩壁落下来，潭边摆着金盆小花，湿润又舒服。
5.(诗意) 泉落石壁蕨影微颤，一隅湿润自成清凉。",,,,,,8,3,9,8,6,8,"含emoji的条数不符(需1-1条, 实2条)"
高赞朋友圈#153,高赞朋友圈,"1.(直白) 店里试了一身灰色系🖤
2.(留白) 灰配灰，安静好看。
3.(共鸣) 试衣镜前，最容易心动。
4.(接地气) 灰大衣配灰长裙加黑长靴，站店里镜子前拍了张，很想带走。
5.(诗意) 一身灰调立于镜中，光影替我记下心动。",保留图片主题，换成更有氛围感但不矫情的表达。,"1.(直白) 店里试了一身灰色系🖤
2.(留白) 灰配灰，安静。
3.(共鸣) 试衣镜前，易心动。
4.(接地气) 灰大衣配灰长裙加黑长靴，站镜子前拍了张，很想带走。
5.(诗意) 一身灰调立于镜中，光影替我记下心动。",,,,,,8,3,9,8,7,8,"含emoji的条数不符(需1-1条, 实2条)"
